index,country,province
46482,US,California
46483,Argentina,Mendoza Province
46484,Argentina,Mendoza Province
46485,US,California
46486,US,California
46487,US,California
46488,Argentina,Mendoza Province
46489,Argentina,Mendoza Province
46490,Portugal,Alentejano
46491,US,California
46492,Argentina,Mendoza Province
46493,US,California
46494,US,Oregon
46495,US,California
46496,US,California
46497,US,California
46498,Argentina,Mendoza Province
46499,Argentina,Other
46500,Italy,Tuscany
46501,Spain,Central Spain
46502,Chile,Curicó Valley
46503,Italy,Tuscany
46504,US,New York
46505,US,California
46506,France,Bordeaux
46507,France,Bordeaux
46508,France,Bordeaux
46509,Spain,Northern Spain
46510,Chile,Maule Valley
46511,US,New York
46512,Italy,Tuscany
46513,Italy,Tuscany
46514,US,California
46515,US,California
46516,Chile,Central Valley
46517,US,New York
46518,US,California
46519,US,California
46520,US,New York
46521,France,Bordeaux
46522,Spain,Catalonia
46523,US,Washington
46524,US,California
46525,Spain,Catalonia
46526,Chile,Casablanca Valley
46527,Chile,Casablanca Valley
46528,Chile,Central Valley
46529,Spain,Central Spain
46530,Portugal,Bairrada
46531,New Zealand,Marlborough
46532,Italy,Tuscany
46533,France,Bordeaux
46534,Italy,Tuscany
46535,Spain,Northern Spain
46536,US,California
46537,US,California
46538,US,California
46539,Italy,Tuscany
46540,US,California
46541,Spain,Catalonia
46542,Italy,Tuscany
46543,Portugal,Dão
46544,US,California
46545,Spain,Northern Spain
46546,Australia,Australia Other
46547,Spain,Catalonia
46548,US,California
46549,US,California
46550,Italy,Tuscany
46551,Italy,Tuscany
46552,US,Oregon
46553,New Zealand,Marlborough
46554,Portugal,Duriense
46555,Spain,Northern Spain
46556,Italy,Tuscany
46557,France,Southwest France
46558,Portugal,Lisboa
46559,US,Oregon
46560,Australia,Western Australia
46561,Australia,South Australia
46562,New Zealand,Marlborough
46563,Australia,South Australia
46564,Italy,Piedmont
46565,Italy,Piedmont
46566,Italy,Piedmont
46567,France,Southwest France
46568,Chile,Colchagua Valley
46569,Italy,Piedmont
46570,Chile,Central Valley
46571,Italy,Piedmont
46572,US,California
46573,Italy,Piedmont
46574,US,Washington
46575,Italy,Piedmont
46576,New Zealand,Marlborough
46577,Chile,Casablanca Valley
46578,New Zealand,Marlborough
46579,Italy,Piedmont
46580,Italy,Piedmont
46581,Australia,Victoria
46582,Italy,Piedmont
46583,France,Provence
46584,France,Provence
46585,Italy,Piedmont
46586,Australia,South Australia
46587,Italy,Piedmont
46588,France,Southwest France
46589,Italy,Piedmont
46590,Uruguay,San Jose
46591,France,Bordeaux
46592,US,California
46593,US,California
46594,US,California
46595,Germany,Franken
46596,France,Alsace
46597,US,California
46598,US,California
46599,New Zealand,Central Otago
46600,Germany,Rheinhessen
46601,Germany,Rheinhessen
46602,Australia,Western Australia
46603,Germany,Mosel
46604,US,California
46605,US,California
46606,Germany,Franken
46607,Germany,Franken
46608,Spain,Northern Spain
46609,US,California
46610,US,California
46611,US,California
46612,Australia,South Australia
46613,Germany,Franken
46614,Germany,Rheinhessen
46615,Brazil,Vale dos Vinhedos
46616,France,Alsace
46617,US,California
46618,Uruguay,Juanico
46619,Spain,Northern Spain
46620,US,California
46621,US,California
46622,US,California
46623,Chile,Casablanca Valley
46624,Italy,Northeastern Italy
46625,Chile,Colchagua Valley
46626,US,Oregon
46627,US,Oregon
46628,US,California
46629,Portugal,Bucelas
46630,Portugal,Lisboa
46631,France,Loire Valley
46632,US,California
46633,Spain,Northern Spain
46634,Portugal,Tejo
46635,Portugal,Dão
46636,France,Languedoc-Roussillon
46637,Portugal,Alentejano
46638,US,California
46639,Portugal,Lisboa
46640,Italy,Northeastern Italy
46641,US,California
46642,US,California
46643,Italy,Northeastern Italy
46644,Germany,Rheinhessen
46645,Portugal,Bucelas
46646,US,California
46647,Portugal,Lisboa
46648,Portugal,Lisboa
46649,Italy,Northeastern Italy
46650,Italy,Tuscany
46651,Spain,Northern Spain
46652,Portugal,Port
46653,Portugal,Lisboa
46654,US,California
46655,US,California
46656,Italy,Tuscany
46657,US,New York
46658,Spain,Central Spain
46659,Italy,Tuscany
46660,US,New York
46661,Spain,Catalonia
46662,US,California
46663,Italy,Tuscany
46664,Italy,Tuscany
46665,Portugal,Alentejano
46666,US,New York
46667,US,California
46668,US,California
46669,US,California
46670,US,California
46671,US,California
46672,Italy,Tuscany
46673,Israel,Galil
46674,Italy,Tuscany
46675,US,California
46676,US,California
46677,US,California
46678,Spain,Northern Spain
46679,Italy,Tuscany
46680,US,Oregon
46681,US,Virginia
46682,US,Oregon
46683,US,California
46684,US,California
46685,France,Beaujolais
46686,US,Oregon
46687,Italy,Sicily & Sardinia
46688,US,California
46689,US,Oregon
46690,US,Oregon
46691,Italy,Sicily & Sardinia
46692,France,Beaujolais
46693,Italy,Southern Italy
46694,US,Oregon
46695,France,Southwest France
46696,US,California
46697,Italy,Sicily & Sardinia
46698,US,California
46699,Chile,Casablanca Valley
46700,Italy,Sicily & Sardinia
46701,Italy,Sicily & Sardinia
46702,US,Oregon
46703,Italy,Sicily & Sardinia
46704,Italy,Sicily & Sardinia
46705,France,Bordeaux
46706,France,Bordeaux
46707,Chile,Cachapoal Valley
46708,US,California
46709,Italy,Sicily & Sardinia
46710,Austria,Niederösterreich
46711,Italy,Italy Other
46712,US,California
46713,US,California
46714,Italy,Piedmont
46715,US,California
46716,South Africa,Western Cape
46717,US,California
46718,US,California
46719,Chile,Maule Valley
46720,Argentina,Mendoza Province
46721,Italy,Piedmont
46722,US,California
46723,US,California
46724,US,Washington
46725,Chile,Maule Valley
46726,US,California
46727,Australia,Australia Other
46728,Argentina,Mendoza Province
46729,Argentina,Mendoza Province
46730,Australia,Australia Other
46731,US,California
46732,US,California
46733,Argentina,Mendoza Province
46734,US,California
46735,Argentina,Mendoza Province
46736,Australia,Australia Other
46737,Argentina,Other
46738,Argentina,Other
46739,Argentina,Mendoza Province
46740,Italy,Veneto
46741,Italy,Veneto
46742,US,California
46743,Austria,Niederösterreich
46744,Italy,Veneto
46745,Italy,Veneto
46746,Italy,Veneto
46747,Italy,Veneto
46748,US,Oregon
46749,Italy,Veneto
46750,US,California
46751,Italy,Veneto
46752,Germany,Mosel-Saar-Ruwer
46753,US,California
46754,Austria,Niederösterreich
46755,Austria,Kremstal
46756,US,Oregon
46757,France,Burgundy
46758,US,California
46759,France,Burgundy
46760,France,Burgundy
46761,Austria,Kamptal
46762,US,California
46763,Italy,Veneto
46764,Spain,Northern Spain
46765,US,California
46766,Italy,Veneto
46767,Germany,Mosel-Saar-Ruwer
46768,Italy,Veneto
46769,France,Burgundy
46770,Argentina,Mendoza Province
46771,Argentina,Mendoza Province
46772,US,Oregon
46773,Argentina,Mendoza Province
46774,South Africa,Stellenbosch
46775,US,California
46776,US,California
46777,Argentina,Mendoza Province
46778,US,California
46779,US,Oregon
46780,Argentina,Mendoza Province
46781,US,Oregon
46782,France,Rhône Valley
46783,Argentina,Mendoza Province
46784,Argentina,Mendoza Province
46785,Argentina,Mendoza Province
46786,Argentina,Other
46787,Portugal,Alentejano
46788,Argentina,Mendoza Province
46789,Argentina,Mendoza Province
46790,Argentina,Mendoza Province
46791,US,California
46792,Argentina,Mendoza Province
46793,Argentina,Mendoza Province
46794,Argentina,Mendoza Province
46795,France,Burgundy
46796,France,Burgundy
46797,US,California
46798,US,California
46799,US,California
46800,US,California
46801,France,Bordeaux
46802,Spain,Northern Spain
46803,France,Bordeaux
46804,US,California
46805,Spain,Northern Spain
46806,Italy,Tuscany
46807,US,California
46808,Italy,Tuscany
46809,Spain,Central Spain
46810,Chile,Limarí Valley
46811,Chile,Colchagua Valley
46812,Portugal,Douro
46813,US,California
46814,US,California
46815,Italy,Tuscany
46816,Chile,Rapel Valley
46817,Chile,Curicó Valley
46818,US,New York
46819,Spain,Central Spain
46820,US,California
46821,US,California
46822,US,California
46823,US,California
46824,US,California
46825,US,California
46826,US,California
46827,France,Languedoc-Roussillon
46828,Italy,Tuscany
46829,US,California
46830,Spain,Northern Spain
46831,France,Bordeaux
46832,France,Southwest France
46833,France,Bordeaux
46834,France,Southwest France
46835,Spain,Galicia
46836,Portugal,Lisboa
46837,US,Oregon
46838,US,Oregon
46839,Portugal,Lisboa
46840,Spain,Northern Spain
46841,Spain,Northern Spain
46842,Italy,Tuscany
46843,US,California
46844,US,California
46845,US,California
46846,US,California
46847,US,California
46848,France,Southwest France
46849,Italy,Tuscany
46850,Italy,Tuscany
46851,Italy,Tuscany
46852,Portugal,Vinho Verde
46853,Spain,Catalonia
46854,Portugal,Vinho Verde
46855,Portugal,Vinho Verde
46856,Portugal,Península de Setúbal
46857,US,California
46858,US,California
46859,US,Oregon
46860,Italy,Piedmont
46861,France,Provence
46862,Italy,Piedmont
46863,US,California
46864,Chile,Colchagua Valley
46865,Australia,South Australia
46866,Italy,Piedmont
46867,Italy,Piedmont
46868,New Zealand,Marlborough
46869,US,Washington
46870,US,California
46871,Chile,Central Valley
46872,US,Washington
46873,Italy,Piedmont
46874,France,Provence
46875,France,Provence
46876,France,Provence
46877,Chile,Curicó Valley
46878,US,California
46879,US,California
46880,Italy,Veneto
46881,Italy,Piedmont
46882,South Africa,Franschhoek
46883,Italy,Piedmont
46884,Italy,Piedmont
46885,Italy,Piedmont
46886,Chile,Colchagua Valley
46887,US,Washington
46888,Italy,Piedmont
46889,Italy,Piedmont
46890,Spain,Catalonia
46891,Lebanon,Bekaa Valley
46892,US,California
46893,US,California
46894,US,Oregon
46895,Uruguay,Uruguay
46896,Spain,Catalonia
46897,US,California
46898,Spain,Northern Spain
46899,US,California
46900,Spain,Northern Spain
46901,US,California
46902,US,California
46903,US,California
46904,US,California
46905,Germany,Rheinhessen
46906,Spain,Northern Spain
46907,Australia,South Australia
46908,France,Bordeaux
46909,US,California
46910,US,California
46911,France,Alsace
46912,US,California
46913,Australia,Australia Other
46914,Uruguay,San Jose
46915,Spain,Northern Spain
46916,US,California
46917,Spain,Northern Spain
46918,US,California
46919,US,California
46920,Portugal,Douro
46921,US,California
46922,US,California
46923,Italy,Central Italy
46924,US,Washington
46925,Spain,Levante
46926,Spain,Levante
46927,Chile,Colchagua Valley
46928,Italy,Tuscany
46929,US,California
46930,Israel,Galilee
46931,Italy,Tuscany
46932,Spain,Catalonia
46933,US,California
46934,Israel,Judean Hills
46935,Israel,Galilee
46936,Italy,Tuscany
46937,Italy,Tuscany
46938,Italy,Tuscany
46939,US,California
46940,US,Washington
46941,US,California
46942,Italy,Tuscany
46943,Italy,Tuscany
46944,Italy,Tuscany
46945,Italy,Tuscany
46946,Italy,Tuscany
46947,US,California
46948,US,California
46949,US,Washington
46950,Italy,Sicily & Sardinia
46951,US,California
46952,US,California
46953,US,California
46954,France,Beaujolais
46955,Italy,Sicily & Sardinia
46956,France,Bordeaux
46957,Italy,Sicily & Sardinia
46958,US,Oregon
46959,France,Bordeaux
46960,France,Southwest France
46961,Chile,Casablanca Valley
46962,Chile,Colchagua Valley
46963,US,Oregon
46964,Italy,Sicily & Sardinia
46965,US,Oregon
46966,Italy,Sicily & Sardinia
46967,France,Bordeaux
46968,Italy,Southern Italy
46969,Chile,Leyda Valley
46970,Chile,Casablanca Valley
46971,US,Oregon
46972,France,Beaujolais
46973,US,California
46974,Italy,Southern Italy
46975,Chile,Casablanca Valley
46976,US,California
46977,US,Oregon
46978,US,Oregon
46979,France,Southwest France
46980,Spain,Northern Spain
46981,Italy,Northeastern Italy
46982,US,California
46983,US,California
46984,US,Oregon
46985,Portugal,Alentejano
46986,Portugal,Vinho Verde
46987,France,Loire Valley
46988,Chile,Maipo Valley
46989,Portugal,Dão
46990,US,Oregon
46991,US,California
46992,Austria,Weinviertel
46993,Italy,Northeastern Italy
46994,US,California
46995,Chile,San Antonio
46996,Italy,Northeastern Italy
46997,France,Languedoc-Roussillon
46998,Portugal,Tejo
46999,US,California
47000,US,Oregon
47001,Austria,Niederösterreich
47002,US,California
47003,US,California
47004,US,California
47005,Italy,Northeastern Italy
47006,US,California
47007,US,Oregon
47008,Austria,Kremstal
47009,US,California
47010,Australia,Australia Other
47011,US,California
47012,Chile,Lontué Valley
47013,Argentina,Mendoza Province
47014,US,California
47015,Italy,Piedmont
47016,Argentina,Mendoza Province
47017,US,California
47018,US,California
47019,US,California
47020,Chile,Elqui Valley
47021,Argentina,Mendoza Province
47022,US,California
47023,US,California
47024,US,California
47025,Argentina,Mendoza Province
47026,US,California
47027,US,California
47028,US,California
47029,Argentina,Mendoza Province
47030,Chile,Colchagua Valley
47031,US,California
47032,US,California
47033,US,California
47034,Argentina,Mendoza Province
47035,South Africa,Darling
47036,Australia,South Australia
47037,US,California
47038,US,California
47039,Australia,Australia Other
47040,US,California
47041,US,California
47042,US,California
47043,US,California
47044,France,Burgundy
47045,Australia,Victoria
47046,Italy,Veneto
47047,Germany,Mosel-Saar-Ruwer
47048,US,California
47049,US,Oregon
47050,US,California
47051,US,California
47052,US,California
47053,Spain,Northern Spain
47054,Italy,Veneto
47055,France,Burgundy
47056,France,Burgundy
47057,Germany,Mosel-Saar-Ruwer
47058,Spain,Catalonia
47059,US,California
47060,US,California
47061,US,California
47062,Germany,Mosel
47063,France,Burgundy
47064,France,Burgundy
47065,France,Burgundy
47066,US,California
47067,US,California
47068,Italy,Veneto
47069,US,California
47070,US,California
47071,US,Washington
47072,US,California
47073,France,Burgundy
47074,US,California
47075,US,California
47076,France,Burgundy
47077,France,Burgundy
47078,Australia,South Australia
47079,US,Washington
47080,US,Washington
47081,US,California
47082,US,Washington
47083,US,Washington
47084,US,California
47085,US,California
47086,France,Burgundy
47087,US,Washington
47088,US,California
47089,US,California
47090,US,California
47091,US,California
47092,US,California
47093,US,California
47094,US,Washington
47095,US,California
47096,Italy,Sicily & Sardinia
47097,US,California
47098,US,Washington
47099,France,Burgundy
47100,US,California
47101,Italy,Tuscany
47102,US,California
47103,US,California
47104,US,California
47105,France,Bordeaux
47106,US,California
47107,US,California
47108,US,California
47109,France,Bordeaux
47110,US,California
47111,Spain,Northern Spain
47112,US,California
47113,Italy,Tuscany
47114,Chile,Colchagua Valley
47115,Chile,Maule Valley
47116,Portugal,Tejo
47117,Spain,Northern Spain
47118,Portugal,Douro
47119,US,California
47120,US,California
47121,US,California
47122,France,Languedoc-Roussillon
47123,US,California
47124,US,California
47125,US,California
47126,Spain,Catalonia
47127,US,California
47128,US,California
47129,Spain,Central Spain
47130,US,California
47131,US,Oregon
47132,Spain,Galicia
47133,France,Bordeaux
47134,France,Bordeaux
47135,New Zealand,Marlborough
47136,France,Southwest France
47137,US,Oregon
47138,Italy,Tuscany
47139,France,Southwest France
47140,France,Southwest France
47141,Italy,Tuscany
47142,Spain,Galicia
47143,US,California
47144,US,California
47145,Portugal,Bairrada
47146,France,Bordeaux
47147,France,Southwest France
47148,US,California
47149,US,New York
47150,Spain,Northern Spain
47151,Spain,Catalonia
47152,New Zealand,Marlborough
47153,US,California
47154,New Zealand,Waipara
47155,Italy,Tuscany
47156,US,New York
47157,US,California
47158,US,California
47159,US,California
47160,Chile,Maipo Valley
47161,US,California
47162,Italy,Piedmont
47163,Italy,Piedmont
47164,New Zealand,Marlborough
47165,Italy,Piedmont
47166,US,California
47167,Australia,South Australia
47168,Israel,Galilee
47169,Italy,Piedmont
47170,Italy,Piedmont
47171,Italy,Piedmont
47172,Australia,South Australia
47173,New Zealand,Marlborough
47174,France,Provence
47175,France,Southwest France
47176,France,Provence
47177,France,Provence
47178,US,California
47179,US,California
47180,France,Provence
47181,US,California
47182,Italy,Piedmont
47183,Italy,Piedmont
47184,Italy,Piedmont
47185,Italy,Piedmont
47186,Italy,Piedmont
47187,Italy,Piedmont
47188,Italy,Piedmont
47189,New Zealand,Marlborough
47190,Spain,Northern Spain
47191,US,California
47192,US,California
47193,Australia,South Australia
47194,New Zealand,Martinborough
47195,Brazil,Vale dos Vinhedos
47196,US,California
47197,US,California
47198,New Zealand,Marlborough
47199,US,California
47200,US,Oregon
47201,Spain,Catalonia
47202,US,California
47203,US,California
47204,France,Bordeaux
47205,Spain,Northern Spain
47206,US,California
47207,Spain,Northern Spain
47208,Spain,Northern Spain
47209,US,Washington
47210,US,California
47211,US,California
47212,US,California
47213,US,California
47214,US,California
47215,US,California
47216,US,California
47217,US,Washington
47218,US,California
47219,US,California
47220,US,California
47221,Italy,Tuscany
47222,Italy,Tuscany
47223,France,Bordeaux
47224,Chile,Colchagua Valley
47225,Italy,Tuscany
47226,US,California
47227,Chile,Casablanca Valley
47228,US,New York
47229,US,New York
47230,Italy,Tuscany
47231,Spain,Levante
47232,Italy,Tuscany
47233,France,Bordeaux
47234,Italy,Tuscany
47235,US,California
47236,Italy,Tuscany
47237,US,New York
47238,New Zealand,Marlborough
47239,New Zealand,Waipara Valley
47240,Italy,Tuscany
47241,France,Bordeaux
47242,Italy,Tuscany
47243,Portugal,Alentejano
47244,New Zealand,Marlborough
47245,Israel,Shomron
47246,Spain,Northern Spain
47247,Italy,Central Italy
47248,Portugal,Port
47249,Portugal,Alentejano
47250,France,Southwest France
47251,Italy,Sicily & Sardinia
47252,US,California
47253,France,Southwest France
47254,France,Bordeaux
47255,France,Bordeaux
47256,US,Virginia
47257,Italy,Sicily & Sardinia
47258,US,Oregon
47259,US,California
47260,Italy,Sicily & Sardinia
47261,France,Southwest France
47262,Italy,Southern Italy
47263,Italy,Sicily & Sardinia
47264,France,Beaujolais
47265,Chile,Colchagua Valley
47266,US,Oregon
47267,Italy,Sicily & Sardinia
47268,France,Bordeaux
47269,France,Bordeaux
47270,Italy,Sicily & Sardinia
47271,Italy,Sicily & Sardinia
47272,France,Beaujolais
47273,France,Beaujolais
47274,US,California
47275,US,California
47276,US,Oregon
47277,Italy,Sicily & Sardinia
47278,France,Southwest France
47279,US,California
47280,Portugal,Tejo
47281,Portugal,Tejo
47282,US,California
47283,Italy,Northeastern Italy
47284,Italy,Northeastern Italy
47285,US,Oregon
47286,US,California
47287,Chile,Marchigue
47288,Chile,Colchagua Valley
47289,Portugal,Lisboa
47290,Spain,Galicia
47291,Spain,Northern Spain
47292,US,Oregon
47293,US,California
47294,Portugal,Península de Setúbal
47295,US,Oregon
47296,France,Loire Valley
47297,Austria,Austria
47298,US,California
47299,Italy,Northeastern Italy
47300,US,California
47301,France,Languedoc-Roussillon
47302,US,Oregon
47303,US,California
47304,US,California
47305,Portugal,Vinho Verde
47306,Italy,Northeastern Italy
47307,Portugal,Alentejo
47308,Chile,Maipo Valley
47309,US,California
47310,US,California
47311,US,California
47312,Italy,Piedmont
47313,Italy,Piedmont
47314,US,California
47315,Chile,Maule Valley
47316,Argentina,Mendoza Province
47317,US,California
47318,US,California
47319,US,California
47320,Chile,Central Valley
47321,US,California
47322,US,California
47323,US,California
47324,US,California
47325,Argentina,Mendoza Province
47326,US,California
47327,US,California
47328,US,California
47329,Argentina,Other
47330,US,California
47331,Australia,South Australia
47332,Chile,Casablanca Valley
47333,US,California
47334,US,California
47335,Argentina,Other
47336,US,California
47337,Australia,Australia Other
47338,Italy,Northwestern Italy
47339,Australia,Tasmania
47340,US,California
47341,France,Burgundy
47342,Spain,Catalonia
47343,US,California
47344,US,Washington
47345,US,California
47346,US,California
47347,US,Washington
47348,US,California
47349,US,Washington
47350,Spain,Northern Spain
47351,US,Washington
47352,Spain,Galicia
47353,US,California
47354,US,Washington
47355,Australia,South Australia
47356,US,California
47357,US,Washington
47358,US,California
47359,France,Burgundy
47360,US,California
47361,US,California
47362,Australia,South Australia
47363,US,Washington
47364,US,Washington
47365,US,California
47366,US,Washington
47367,US,Washington
47368,Spain,Northern Spain
47369,Spain,Northern Spain
47370,US,California
47371,US,California
47372,Italy,Veneto
47373,France,Burgundy
47374,US,Oregon
47375,Italy,Veneto
47376,Italy,Veneto
47377,Austria,Niederösterreich
47378,US,California
47379,US,Oregon
47380,Italy,Veneto
47381,US,California
47382,Spain,Northern Spain
47383,Austria,Wagram-Donauland
47384,Australia,South Australia
47385,France,Burgundy
47386,France,Burgundy
47387,France,Burgundy
47388,France,Burgundy
47389,US,California
47390,France,Burgundy
47391,France,Burgundy
47392,France,Burgundy
47393,Italy,Veneto
47394,US,Oregon
47395,Italy,Veneto
47396,Italy,Veneto
47397,Italy,Veneto
47398,Italy,Veneto
47399,France,Burgundy
47400,Italy,Tuscany
47401,Italy,Tuscany
47402,US,California
47403,US,California
47404,US,California
47405,Italy,Tuscany
47406,Italy,Tuscany
47407,US,California
47408,US,California
47409,Italy,Tuscany
47410,US,Oregon
47411,Portugal,Alentejano
47412,US,Oregon
47413,France,Languedoc-Roussillon
47414,US,California
47415,US,California
47416,US,California
47417,US,California
47418,Spain,Catalonia
47419,US,California
47420,US,California
47421,Portugal,Alentejano
47422,France,Bordeaux
47423,US,California
47424,Spain,Northern Spain
47425,US,Oregon
47426,US,California
47427,Italy,Tuscany
47428,US,California
47429,US,California
47430,Chile,Rapel Valley
47431,Spain,Spain Other
47432,US,California
47433,US,California
47434,Italy,Tuscany
47435,Italy,Tuscany
47436,France,Burgundy
47437,US,California
47438,France,Burgundy
47439,US,California
47440,France,Burgundy
47441,Italy,Sicily & Sardinia
47442,US,California
47443,US,California
47444,US,California
47445,US,California
47446,France,Burgundy
47447,US,California
47448,US,California
47449,France,Burgundy
47450,US,California
47451,Italy,Veneto
47452,US,California
47453,US,California
47454,US,California
47455,France,Champagne
47456,US,California
47457,US,California
47458,France,Burgundy
47459,Italy,Northeastern Italy
47460,US,California
47461,Italy,Piedmont
47462,Australia,South Australia
47463,Italy,Piedmont
47464,Italy,Piedmont
47465,New Zealand,Marlborough
47466,Italy,Piedmont
47467,Australia,South Australia
47468,Italy,Piedmont
47469,US,Washington
47470,US,California
47471,US,Washington
47472,US,Washington
47473,US,California
47474,Italy,Piedmont
47475,Italy,Piedmont
47476,Italy,Piedmont
47477,Italy,Piedmont
47478,US,California
47479,France,Provence
47480,Italy,Piedmont
47481,Italy,Piedmont
47482,Italy,Piedmont
47483,Italy,Piedmont
47484,Italy,Piedmont
47485,US,California
47486,France,Provence
47487,Italy,Piedmont
47488,Australia,South Australia
47489,US,California
47490,US,California
47491,France,Burgundy
47492,US,California
47493,US,California
47494,US,California
47495,US,Washington
47496,US,California
47497,US,California
47498,France,Burgundy
47499,US,California
47500,US,Washington
47501,US,California
47502,US,California
47503,France,Burgundy
47504,US,California
47505,US,Washington
47506,US,California
47507,US,Washington
47508,US,California
47509,Argentina,Mendoza Province
47510,Argentina,Mendoza Province
47511,US,Washington
47512,US,California
47513,US,Washington
47514,US,Washington
47515,US,California
47516,France,Languedoc-Roussillon
47517,Argentina,Mendoza Province
47518,France,Burgundy
47519,US,California
47520,Chile,Colchagua Valley
47521,Spain,Catalonia
47522,US,California
47523,US,Washington
47524,Spain,Northern Spain
47525,Israel,Galilee
47526,Italy,Tuscany
47527,US,New York
47528,Italy,Tuscany
47529,Italy,Tuscany
47530,Chile,Leyda Valley
47531,Chile,Casablanca Valley
47532,New Zealand,Nelson
47533,Spain,Northern Spain
47534,Italy,Tuscany
47535,Italy,Tuscany
47536,New Zealand,Marlborough
47537,New Zealand,Central Otago
47538,Italy,Tuscany
47539,US,New York
47540,US,New York
47541,US,California
47542,US,California
47543,US,California
47544,Chile,Colchagua Valley
47545,Italy,Tuscany
47546,US,Washington
47547,Italy,Tuscany
47548,Italy,Tuscany
47549,Italy,Tuscany
47550,US,Oregon
47551,US,California
47552,US,California
47553,France,Beaujolais
47554,Italy,Sicily & Sardinia
47555,Chile,Maipo Valley
47556,Chile,San Antonio
47557,France,Beaujolais
47558,US,California
47559,US,California
47560,US,California
47561,US,California
47562,France,Southwest France
47563,France,Southwest France
47564,France,Beaujolais
47565,France,Southwest France
47566,France,Beaujolais
47567,Italy,Sicily & Sardinia
47568,Italy,Sicily & Sardinia
47569,Italy,Sicily & Sardinia
47570,US,Oregon
47571,US,Oregon
47572,US,California
47573,Chile,Maule Valley
47574,US,Oregon
47575,US,Oregon
47576,US,California
47577,US,Oregon
47578,US,Oregon
47579,US,Oregon
47580,US,California
47581,Chile,Central Valley
47582,US,California
47583,Australia,South Australia
47584,US,California
47585,US,California
47586,US,California
47587,US,California
47588,Argentina,Mendoza Province
47589,US,California
47590,Argentina,Other
47591,Australia,South Australia
47592,US,California
47593,Chile,Colchagua Valley
47594,US,California
47595,Argentina,Mendoza Province
47596,US,California
47597,US,California
47598,US,California
47599,US,California
47600,Australia,Victoria
47601,US,California
47602,US,California
47603,US,California
47604,Chile,Maule Valley
47605,US,California
47606,US,California
47607,US,Washington
47608,US,California
47609,Argentina,Other
47610,Austria,Niederösterreich
47611,US,California
47612,US,California
47613,US,Oregon
47614,Portugal,Península de Setúbal
47615,US,Oregon
47616,US,California
47617,Chile,Maipo Valley
47618,US,Oregon
47619,Spain,Spanish Islands
47620,Germany,Mosel
47621,US,California
47622,Chile,Maule Valley
47623,Chile,Colchagua Valley
47624,France,Loire Valley
47625,US,Oregon
47626,Spain,Catalonia
47627,Portugal,Tejo
47628,Chile,Casablanca Valley
47629,US,California
47630,US,California
47631,Portugal,Lisboa
47632,France,Loire Valley
47633,US,California
47634,Chile,Maule Valley
47635,US,Oregon
47636,US,Oregon
47637,US,California
47638,US,California
47639,Portugal,Douro
47640,US,California
47641,US,California
47642,US,California
47643,US,California
47644,US,California
47645,Spain,Northern Spain
47646,US,California
47647,US,Washington
47648,US,California
47649,US,California
47650,US,Washington
47651,Chile,Colchagua Valley
47652,Italy,Sicily & Sardinia
47653,Chile,Aconcagua Valley
47654,Spain,Northern Spain
47655,Austria,Burgenland
47656,US,California
47657,Italy,Sicily & Sardinia
47658,US,Washington
47659,US,California
47660,US,California
47661,Australia,South Australia
47662,US,Washington
47663,US,Washington
47664,US,California
47665,US,Washington
47666,US,Washington
47667,Spain,Central Spain
47668,Australia,South Australia
47669,US,California
47670,US,Oregon
47671,US,California
47672,Australia,South Australia
47673,US,Oregon
47674,France,Burgundy
47675,France,Burgundy
47676,France,Burgundy
47677,US,California
47678,France,Burgundy
47679,Italy,Veneto
47680,France,Burgundy
47681,France,Burgundy
47682,France,Burgundy
47683,France,Burgundy
47684,US,Oregon
47685,Austria,Kremstal
47686,Germany,Mosel-Saar-Ruwer
47687,US,California
47688,France,Burgundy
47689,US,California
47690,Spain,Catalonia
47691,Italy,Veneto
47692,France,Burgundy
47693,France,Burgundy
47694,US,Oregon
47695,Germany,Mosel-Saar-Ruwer
47696,Germany,Mosel-Saar-Ruwer
47697,US,California
47698,US,California
47699,Australia,Western Australia
47700,US,California
47701,Italy,Tuscany
47702,France,Burgundy
47703,US,California
47704,US,California
47705,France,Burgundy
47706,US,California
47707,Argentina,Mendoza Province
47708,Italy,Lombardy
47709,US,California
47710,France,Burgundy
47711,France,Burgundy
47712,US,California
47713,US,California
47714,Italy,Veneto
47715,US,California
47716,France,Burgundy
47717,US,California
47718,US,California
47719,France,Burgundy
47720,Chile,Colchagua Valley
47721,US,California
47722,France,Champagne
47723,France,Burgundy
47724,US,California
47725,US,California
47726,US,California
47727,France,Burgundy
47728,US,California
47729,US,California
47730,Chile,Colchagua Valley
47731,Chile,Lontué Valley
47732,Italy,Piedmont
47733,Italy,Piedmont
47734,Chile,Colchagua Valley
47735,France,Southwest France
47736,US,California
47737,Australia,South Australia
47738,New Zealand,Nelson
47739,US,Washington
47740,Italy,Piedmont
47741,US,Washington
47742,Australia,South Australia
47743,US,California
47744,US,California
47745,New Zealand,Hawke's Bay
47746,Italy,Piedmont
47747,Italy,Piedmont
47748,Italy,Piedmont
47749,Chile,Maipo Valley
47750,Chile,Colchagua Valley
47751,Italy,Piedmont
47752,US,California
47753,US,California
47754,New Zealand,Marlborough
47755,South Africa,Elgin
47756,Italy,Piedmont
47757,Italy,Piedmont
47758,Italy,Piedmont
47759,Chile,Elqui Valley
